Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,mapped_sentiment
Enjoying a beautiful day at the park!,Positive,User123,Twitter,#Nature #Park,15,30,USA,2023,Jan,positive
Traffic was terrible this morning.,Negative,CommuterX,Twitter,#Traffic #Morning,5,10,Canada,2023,Jan,negative
Just finished an amazing workout! 💪,Positive,FitnessFan,Instagram,#Fitness #Workout,20,40,USA,2023,Jan,positive
Excited about the upcoming weekend getaway!,Positive,AdventureX,Facebook,#Travel #Adventure,8,15,UK,2023,Jan,positive
Trying out a new recipe for dinner tonight.,Neutral,ChefCook,Instagram,#Cooking #Food,12,25,Australia,2023,Jan,neutral
Feeling grateful for the little things in life.,Positive,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25,50,India,2023,Jan,positive
Rainy days call for cozy blankets and hot cocoa.,Positive,RainyDays,Facebook,#RainyDays #Cozy,10,20,Canada,2023,Jan,positive
The new movie release is a must-watch!,Positive,MovieBuff,Instagram,#MovieNight #MustWatch,15,30,USA,2023,Jan,positive
Political discussions heating up on the timeline.,Negative,DebateTalk,Twitter,#Politics #Debate,30,60,USA,2023,Jan,negative
Missing summer vibes and beach days.,Neutral,BeachLover,Facebook,#Summer #BeachDays,18,35,Australia,2023,Jan,neutral
Just published a new blog post. Check it out!,Positive,BloggerX,Instagram,#Blogging #NewPost,22,45,USA,2023,Jan,positive
Feeling a bit under the weather today.,Negative,WellnessCheck,Twitter,#SickDay #Health,7,15,Canada,2023,Jan,negative
Exploring the city's hidden gems.,Positive,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12,25,UK,2023,Jan,positive
"New year, new fitness goals! 💪",Positive,FitJourney,Instagram,#NewYear #FitnessGoals,28,55,USA,2023,Jan,positive
Technology is changing the way we live.,Neutral,TechEnthusiast,Twitter,#Tech #Innovation,15,30,India,2023,Jan,neutral
Reflecting on the past and looking ahead.,Positive,Reflections,Facebook,#Reflection #Future,20,40,USA,2023,Jan,positive
Just adopted a cute furry friend! 🐾,Positive,PetAdopter,Instagram,#PetAdoption #FurryFriend,15,30,Canada,2023,Jan,positive
Late-night gaming session with friends.,Positive,GamerX,Twitter,#Gaming #LateNight,18,35,UK,2023,Jan,positive
Attending a virtual conference on AI.,Neutral,TechConference,Facebook,#AI #TechConference,25,50,USA,2023,Jan,neutral
Winter blues got me feeling low.,Negative,WinterBlues,Instagram,#WinterBlues #Mood,8,15,USA,2023,Jan,negative
Sipping coffee and enjoying a good book.,Positive,Bookworm,Twitter,#Reading #CoffeeTime,22,45,India,2023,Jan,positive
